loss_func_list,grad_norm_list
3709.137616854174,7418275233.720691
0.3709137616854107,7418275233.720691
3.709137616848335e-05,74182752.33720723
3.7091376124330026e-09,741827.523374838
3.709137300581623e-13,7418.275231373731
3.709111613780362e-17,74.18275165570203
3.705515999008331e-21,0.7418260574353162
4.542945032356297e-25,0.00741767883302015
8.618457316523217e-26,7.152557373059456e-05
9.76723274530006e-26,2.8610229492190774e-06
1.9188664701677843e-25,9.536743164087983e-07
3.3150560000641274e-25,7.0183928412168694e-12
5.22138574481472e-26,1.9073486328285517e-06
7.173030763597312e-26,2.1725417859427527e-12
8.041396502853658e-26,9.536743164099926e-07
1.2328483230841958e-25,9.53674316411951e-07
1.4187886547532203e-25,1.9073486328160575e-06
2.5689842960488983e-25,9.536743164077518e-07
1.90594731958229e-25,1.9073486328202033e-06
3.991316427899303e-26,9.536743164247467e-07
3.751437067389961e-26,1.907348632819355e-06
4.4094023365336886e-26,9.536743164088258e-07
8.672492805564799e-26,1.907348632816868e-06
1.1512739896938048e-25,1.9073486328176127e-06
1.6614942413817178e-25,3.814697265625802e-06
1.9968407474540498e-25,3.81469726562936e-06
1.1685073215771536e-25,1.9073486328160885e-06
8.618317840676644e-26,4.95054047311766e-12
4.205179123013647e-26,9.536743164138466e-07
6.814167932606213e-26,9.536743164076082e-07
1.088191950295074e-25,9.536743164092117e-07
1.2336652707887608e-25,9.53674316407424e-07
5.144938950493332e-26,9.536743164077217e-07
8.157561971900088e-26,9.536743164216563e-07
6.044138885937216e-26,9.536743164318787e-07
2.074346616429646e-25,2.2165289247306237e-12
1.2301810256670161e-25,1.9073486328214946e-06
1.3524207853134055e-25,3.5981536162093392e-12
8.524847847873315e-26,9.536743164166677e-07
1.6645645627509198e-26,9.53674316408914e-07
2.4495113523977048e-26,9.536743164069899e-07
3.775665997943731e-26,2.2993496679851975e-12
3.676029071532327e-26,9.536743164093472e-07
5.599342890461005e-26,2.210370430783731e-12
1.4260309660124828e-25,9.536743164147415e-07
2.5712111968434847e-25,2.951892478843007e-12
1.2044448190053446e-25,3.814697265626812e-06
1.817776877392052e-25,9.536743164155932e-07
8.060295624508981e-26,9.536743164167375e-07
3.0142065787849295e-26,3.814697265626976e-06
6.658864909306512e-26,9.536743164101298e-07
5.343055906828197e-26,9.536743164074587e-07
3.599109557706089e-26,9.536743164075057e-07
7.220447312902522e-26,1.90734863281436e-06
